Jahr,Nationalität,Geschlecht,Familienstatus,Alter,Anzahl
31.12.2015,Ausländer,männlich,Lebenspartner verstorben,1,-
31.12.2015,Ausländer,weiblich,ledig,1,35488
31.12.2015,Ausländer,weiblich,verheiratet,1,-
31.12.2015,Ausländer,weiblich,verwitwet,1,-
31.12.2015,Ausländer,weiblich,geschieden,1,-
31.12.2015,Ausländer,weiblich,Lebenspartnerschaft,1,-
31.12.2015,Ausländer,weiblich,Lebenspartnerschaft aufgehoben,1,-
31.12.2015,Ausländer,weiblich,Lebenspartner verstorben,1,-
31.12.2016,Deutsche,männlich,ledig,1,344568
31.12.2016,Deutsche,männlich,verheiratet,1,-
31.12.2016,Deutsche,männlich,verwitwet,1,-
31.12.2016,Deutsche,männlich,geschieden,1,-
31.12.2016,Deutsche,männlich,Lebenspartnerschaft,1,-
31.12.2016,Deutsche,männlich,Lebenspartnerschaft aufgehoben,1,-
31.12.2016,Deutsche,männlich,Lebenspartner verstorben,1,-
31.12.2016,Deutsche,weiblich,ledig,1,327330
31.12.2016,Deutsche,weiblich,verheiratet,1,-
31.12.2016,Deutsche,weiblich,verwitwet,1,-
31.12.2016,Deutsche,weiblich,geschieden,1,-
31.12.2016,Deutsche,weiblich,Lebenspartnerschaft,1,-
31.12.2016,Deutsche,weiblich,Lebenspartnerschaft aufgehoben,1,-
31.12.2016,Deutsche,weiblich,Lebenspartner verstorben,1,-
31.12.2016,Ausländer,männlich,ledig,1,47131
31.12.2016,Ausländer,männlich,verheiratet,1,-
31.12.2016,Ausländer,männlich,verwitwet,1,-
31.12.2016,Ausländer,männlich,geschieden,1,-
31.12.2016,Ausländer,männlich,Lebenspartnerschaft,1,-
31.12.2016,Ausländer,männlich,Lebenspartnerschaft aufgehoben,1,-
31.12.2016,Ausländer,männlich,Lebenspartner verstorben,1,-
31.12.2016,Ausländer,weiblich,ledig,1,43490
31.12.2016,Ausländer,weiblich,verheiratet,1,-
31.12.2016,Ausländer,weiblich,verwitwet,1,-
31.12.2016,Ausländer,weiblich,geschieden,1,-
